№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ;;;;;;;;;;;;;
32;"""Білозірська заплава р.Збруч""";заказник;ботанічний;12;Лановецький район, с.Білозірка, частина лівосторонньої заплави р.Збруч, на межі з Підволочиським районом ;Білозірська сільська рада;Рiшення Тернопільської обласної ради  вiд 18.03.1994 р.;;;;;;;;;;;;;
33;"""Кіптиха""";заказник;ботанічний;196,7;Лановецький район, водно-болотний масив між с.Нападівка і Красна Лука ;Борсуківська сільська рада;Рiшення Тернопільської обласної ради  вiд 25.04.1996 р.      № 90 Рiшення Тернопільської обласної ради  вiд 04.12.2014 р.      № 1839 (змінено площу з 40,0 до 196,7га);;;;;;;;;;;;;
34;"""Давидківський""";заказник;ботанічний;9,5;Чортківський район, с.Давидківці, південно-східна околиця, водно-болотний масив;Давидківська сільська рада;Рiшення виконавчого комітету Тернопільської обласної ради вiд 26.12.1983 р. № 496, , зі змінами, затвердженими рішенням Тернопільської обласної ради від 27.04.2001р. №238                                                       ;;;;;;;;;;;;;
35;"""Могила""                       ";заказник;ботанічний;3,2;"Бережанський район, с.Гутисько, піднесення серед полів поряд із горою ""Голиця""";Підвисоцька сільська рада;Рiшення виконавчого комітету Тернопільської обласної ради вiд 30.08.1990 р. № 189                                                        ;;;;;;;;;;;;;
36;"""Шибалинський""";заказник;ботанічний;10;Бережанський район, с.Шибалин, схил північної  експозиції      ;Шибалинська сільська рада;Рiшення виконавчого комітету Тернопільської обласної ради вiд 22.07.1977 р. № 360    ;;;;;;;;;;;;;
37;"""Гора ""Лисоня""            ";заказник;ботанічний;3;Бережанський район,  с.Потутори, околиця села     ;Шибалинська сільська рада;Рiшення виконавчого комітету Тернопільської обласної ради  вiд 30.08.1990 р. № 189                                                        ;;;;;;;;;;;;;
38;"Урочище ""Сторожисько""";заказник;ботанічний;5;Бережанський район,  м.Бережани, південно-західна околиця міста             ;"Бережанське  районне  державне агролісгосподарське підприємство ""Бережаниагроліс""            ";Рiшення виконавчого комітету Тернопільської обласної ради  вiд 30.08.1990 р. № 189                                                        ;;;;;;;;;;;;;
39;"""Комарівський""";заказник;ботанічний;46,9;Бережанський район,  с.Комарівка, околиця;Шибалинська сільська рада;Рiшення Тернопільської обласної ради  вiд 18.03.1994 р.,  зі змінами, затвердженими рішенням Тернопільської обласної ради від 27.04.2001р. №238                                                       ;;;;;;;;;;;;;
40;"Урочище  ""Кривиця""";заказник;ботанічний;5;"Борщівський район, с.Королівка, Борщівське  л-во, кв.69, в.16, лісове урочище ""Королівська стінка""";"ДП ""Чорткiвське лiсове господарство""  ";Рiшення Тернопільської обласної ради  вiд 18.03.1994 р.;;;;;;;;;;;;;
41;"Урочище  ""Вівошів""";заказник;ботанічний;18;Заліщицький район, с.Голігради, північна околиця села, глибока балка, що відкривається до р.Серет ;"Спілка пайовиків ""Винятинська""";Рiшення Тернопільської обласної ради  вiд 18.03.1994 р.;;;;;;;;;;;;;
42;"Урочище  ""Бубнівка""";заказник;ботанічний;16,1;Заліщицький район, с.Шипівці, с.Лисівці, високий берег лівого віддаленого схилу р.Серет, біля кар'єру;Лисівська сільська  рада - 5,9 га, Шипівецька сільська рада - 10,2 га;Рiшення Тернопільської обласної ради  вiд 18.03.1994 р., зі змінами, затвердженими рішенням Тернопільської обласної ради від 27.04.2001р. №238                                                     ;;;;;;;;;;;;;
43;"""Харитонівський""";заказник;ботанічний;5;Заліщицький район, с.Харитонівка, верхня частина лівого схилу долини р. Тупа;Угриньківська сільська рада;Рiшення Тернопільської обласної ради  вiд 18.03.1994 р.;;;;;;;;;;;;;
44;" ""Крамарова гора""";заказник;ботанічний;12;"Підгаєцький район, с.Вербів, в 2 -х км на захід від села, схил південної та південо-західної експозиції в урочищі ""Тарасів""";Вербівська сільська рада;Рiшення  Тернопільської  обласної ради вiд 25.01.2005 р. № 388    ;;;;;;;;;;;;;
45;"""Підгорянський""";заказник;ботанічний;8;"Теребовлянський район, с. Підгора, Теребовлянське  л-во, кв.104 в.6, лісове урочище ""Дача ""Теребовлянська"",     в межах камянистого схилу на околиці с.Підгора ";"ДП ""Тернопільське лісове господарство""";Рiшення Тернопільської обласної ради  вiд 18.03.1994 р.;;;;;;;;;;;;;
46;"""Жеребківський""";заказник;ботанічний;9,6;Підволочиський район, с.Жеребки, фрагмент Товтрової гряди, поряд із старим кар'єром;Жеребківська сільська рада;Рiшення Тернопільської обласної ради  вiд 18.03.1994 р., зі змінами, затвердженими рішенням Тернопільської обласної ради від 27.04.2001р. №238                                                             ;;;;;;;;;;;;;
47;"""Залужанський""";заказник;ботанічний;11,5;"Збаразький район, с.Залужжя, Збаразьке л-во, кв.31 в.4.1,6,  7, лісове урочище ""Залужжя"" ";"ДП ""Тернопільське лісове господарство""";Рішення Тернопільської обласної ради від  09.12.2010 №1097;;;;;;;;;;;;;
48;"""Мала Андруга""";заказник;ботанічний;31,3;Кременецький район, с.Мала Андруга, заплава  р. Іква, меліоративна система біля села;Білокриницька сільська рада;Рiшення виконавчого комітету Тернопільської обласної ради вiд 26.12.1983 р. № 496;;;;;;;;;;;;;
;Разом заказників ботанічних;48;;1329,6;;;;;;;;;;;;;;;;
1;"""Мединський""";заказник;гідрологічний;18,1;Підволочиський район,  с.Медин, заболочена заплава          р. Самчик, водно-болотний масив вище і нижче ставу;"Воробіївська сільська       рада - 4,87 га,                         ТОВ ""Любава Плюс"" -            13, 23 га    ";Рiшення виконавчого комітету Тернопільської обласної ради вiд 26.12.1983 р. № 496;;;;;;;;;;;;;
2;"""Горинський""";заказник;гідрологічний;106;Кременецький район, села: Старий Олексинець, Устечко, Родомиль, Млинівці,  В.Горинка, заплава  р. Горині;Устечківська сільська рада  - 36,9 га, Староолексинська сільська рада - 6,2 га, Ридомильська сільська рада - 46,3 га, Млині-вецька сільська рада  -            4,7 га, Великогоринська  сільська рада - 11,9 га;Рiшення виконавчого комітету Тернопільської обласної ради вiд 26.12.1983 р. № 496, , зі змінами, затвердженими рішенням Тернопільської обласної ради від 27.04.2001р. №238                                                       ;;;;;;;;;;;;;
3;"""Горішньоівачівський""";заказник;гідрологічний;37,4;Тернопільський район, с.Горішній Івачів, південна частина Івачівської водойми;Івачеводолішнівська сільська рада -36,96 га, НДВКХЦ “ІНТЕР-КОРС” - 0,44 га;Рiшення виконавчого комітету Тернопільської обласної ради  вiд 26.12.1983 р. № 496;;;;;;;;;;;;;
4;"""Малобережецький""";заказник;гідрологічний;59,5;Кременецький район, с.Малі Бережці, система ставків;"Великобережецька сільська рада - 26,5 га,                  ЗАТ ""Кременецький цукровий завод"" - 18,0 га,  Козмірчук В.С. - 15,0 га";Рiшення виконавчого комітету Тернопільської обласної ради вiд 30.08.1990 р. № 189    ;;;;;;;;;;;;;
5;"""Збручанський""";заказник;гідрологічний;160;Підволочиський район, штучно створений протиерозійний став в долині рік Збруч та Самчик, між селами  Дорофіївка, Воробіївка та Скорики;Скориківська с/рада -  27,0 га,    Дорофіївська с/рада - 31,0 га,    Воробіївська с/рада -            102,0 га;Рiшення Тернопільської обласної ради  вiд 25.04.1996 р. № 90, зі змінами, затвердженими рішенням Тернопільської обласної ради від 27.04.2001р. №238                                                               ;;;;;;;;;;;;;
6;"""Кутянський луг""";заказник;гідрологічний;66,5;Шумський район, с.Андрушівка, водно-болотний масив в заплаві р.Кутянка ;Андрушківська сільська рада - 58,88 га,       Возняк Д.Ф. - 7,62;Рiшення виконавчого комітету Тернопільської обласної ради  вiд 30.08.1990 р. № 189, зі змінами, затвердженими рішенням Тернопільської обласної ради від 27.04.2001р. №238                                                                                                             ;;;;;;;;;;;;;
7;"""На куті""";заказник;гідрологічний;16,3;Тернопільський район, водно-болотний масив між смт. Великі Бірки та с.Дичків, заплава р.Гнізна;Великобірківська селищна - 12,2 га, Дичківська сільска - 4,1 га ради;Рішення Тернопільської обласної ради від 20.08.2010 №1043;;;;;;;;;;;;;
8;"""Стрипський""";заказник;гідрологічний;23,1;Водно-болотний масив у верхів`ї ріки Стрипи;Вовчківська та Перепельницька сільські ради;Рішення Тернопільської обласної ради від 06.03.2012 №1323;;;;;;;;;;;;;
9;"""Велике болото""";заказник;гідрологічний;44,2;Збаразький район с. Охримівці, Тернопільський район с.Жовтневе водно-болотний масив між с.Жовтневе та с.Охримівці, заплава р.Гнізна;Чернелево-Руська сільська рада Тернопільського району - 14,2 га , Охримівська сільська рада Збаразького району - 30,0 га ;Рішення Тернопільської обласної ради від 20.08.2010 №1043;;;;;;;;;;;;;
;Разом заказників гідрологічних;9;;531,1;;;;;;;;;;;;;;;;
1;"""Солов'їний гай""";заказник;орнітологічний;6,6;Шумський район, с.Онишківці, східна околиця, невеликі ліски біля автошляху Шумське-Боложівка;Онишковецька сільська рада ;Рiшення Тернопільської обласної ради  вiд 18.03.1994 р., зі змінами, затвердженими рішенням Тернопільської обласної ради від 27.04.2001р. №238                                                             ;;;;;;;;;;;;;
2;"""Урочище ""Кашталівка""";заказник;орнітологічний;60;Бережанський район, м.Бережани, пн.-сх.частина Бережанського ставу;Бережанська районна державна адміністрація;Рiшення Тернопільської обласної ради  вiд 18.03.1994 р.;;;;;;;;;;;;;
3;"""Ішківський""";заказник;орнітологічний;80;"Козівський район, пн. околиця с.Дворище, колишні торфорозробки, урочище ""Канали""";Ішківська сільська рада;Рiшення Тернопільської обласної ради  вiд 18.03.1994 р.;;;;;;;;;;;;;
4;"""Канали""";заказник;орнітологічний;57,8;"Козівський район, с.Купчинці, південна околиця, долина р.Стрипа, колишні торфорозробки, урочище ""Канали""";Купчинецька сільська рада;Рiшення Тернопільської обласної ради  вiд 30.01.2003р. №96       ;;;;;;;;;;;;;
5;"""Голошинські ями""";заказник;орнітологічний;5;"Підволочиський район, с.Голошинці, південно-східна околиця, долина р.Самчик, колишні торфорозробки, урочище ""Ями""";Новосільська сільська рада;Рiшення Тернопільської обласної ради вiд 30.01.2003р.№96        ;;;;;;;;;;;;;
6;"""Підволочиський""";заказник;орнітологічний;27;"Підволочиський район, смт. Підволочиськ, пн.-зх. частина міської зони між коліями залізниці ""Тернопіль-Підволочиськ"", штучно створений став";Підволочиська селищна рада;Рiшення Тернопільської обласної ради  вiд 25.04.1996 р.    № 90;;;;;;;;;;;;;
7;"""Скалатський""";заказник;орнітологічний;20;Підволочиський район,  м.Скалат, південно-західна околиця, між  автошляхом “Скалат – Гримайлів” та залізницею, в межах Скалатської водойми на місці колишніх торфорозробок у долині ріки Гнила Рудка.  ;Скалатська міська рада;Рiшення Тернопільської обласної ради  вiд 25.04.1996 р.    № 90;;;;;;;;;;;;;
8;"""Романівський""";заказник;орнітологічний;29,8;Теребовлянський район,  с.Романівка, штучно створений став;Романівська сільська рада;Рiшення Тернопільської обласної ради  вiд 25.04.1996 р.   № 90, зі змінами, затвердженими рішенням Тернопільської обласної ради від 27.04.2001р. №238                                                                ;;;;;;;;;;;;;
;Разом заказників орнітологічних;8;;286,2;;;;;;;;;;;;;;;;
1;"""Касперівсько-Городоцький""";заказник;іхтіологічний;36,8;Заліщицький район, р.Серет від Касперівської ГЕС до гирла;Кулаківська сільська рада - 12,7 га, Дунівська сільська рада - 7,9га, Касперівська сільська рада - 12,7га, Городоцька сільська рада - 3,5га;Рiшення виконавчого комітету Тернопільської обласної ради вiд 19.11.1984 р. № 320    ;;;;;;;;;;;;;
2;"""Городоцько-Добрівлянський""";заказник;іхтіологічний;51;"Заліщицький район, р.Дністер від місця впадіння р.Серет до турбази ""Дністрянка""";Городоцька - 21,0 га , Добрівлянська - 3,0 га, Бедриківська - 8,0 га, Касперівська - 19,0 га сільські ради;Рiшення виконавчого комітету Тернопільської обласної ради  вiд 19.11.1984 р. № 320    ;;;;;;;;;;;;;
3;"""Козівський""";заказник;іхтіологічний;2,42;Козівський район, смт.Козова, територія Козівської районної організації УТМР;Козівська районна організація УТМР;Рiшення Тернопільської обласної ради  вiд 18.03.1994 р., зі змінами, затвердженими рішенням Тернопільської обласної ради від 27.04.2001р. №238                                                           ;;;;;;;;;;;;;
;разом заказників іхтіологічних:;3;;90,2;;;;;;;;;;;;;;;;
1;"""Звіринець""";заказник;загальнозоологічний;2302;"Бережанський район, с.Шибалин, Козівське л-во, кв.48-55, лісове урочище ""Звіринець"", прилеглі до лісового урочища угіддя";Бережанська районна організація УТМР;Рiшення виконавчого комітету Тернопільської обласної ради   вiд 30.06.1986 р. № 198     ;;;;;;;;;;;;;
2;"""Поточани""";заказник;загальнозоологічний;722;"Бережанський район, с. Поточани, Урманське л-во, кв.2-15, лісове урочище ""Поточани""";"ДП ""Бережанське  лісомисливське господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 30.06.1986 р. № 198     ;;;;;;;;;;;;;
3;"""Залісся""";заказник;загальнозоологічний;400;"Бережанський район, с.Урмань, Зборівський район, с.Розгадів, угіддя в межах земель сільських рад, кв.29 в.28,29 РКАЛГП ""Зборіврайагроліс""";Бережанська районна організація УТМР - 280,0 га, Зборівська районна організація УТМР - 120,0 га;Рiшення виконавчого комітету Тернопільської обласної ради вiд 30.06.1986 р. № 198     ;;;;;;;;;;;;;
4;"""Озерянський""";заказник;загальнозоологічний;4184;"Борщівський район, села Озеряни і Пилатківці, Улашківське л-во, кв.75-84, Шманьківчицьке л-во, кв.8, лісові урочища ""Галілея Голубицька"", ""Констанція"", ""Липник"", прилеглі до лісових урочищ угіддя ";"ДП ""Чорткiвське лiсове господарство"" ";Рiшення виконавчого комітету Тернопільської обласної ради вiд 30.06.1986 р. № 198     ;;;;;;;;;;;;;
5;"""Межеліски""";заказник;загальнозоологічний;48;"Бучацький район, с.Зубрець, Золотопотіцьке л-во, кв.17, лісове урочище ""Межеліски""";"ДП ""Бучацьке лісове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 30.06.1986 р. №198     ;;;;;;;;;;;;;
6;"""Чемерове""";заказник;загальнозоологічний;159;"Бучацький район, с.Бариш-Зубрець, Золотопотіцьке  л-во, кв.7-9,85, лісове урочище ""Чемерове""";"ДП ""Бучацьке лісове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради   вiд 30.06.1986 р. №198     ;;;;;;;;;;;;;
7;"""Савинське""";заказник;загальнозоологічний;353;"Бучацький район, с.Бариш, с.Зубрець, Золотопотіцьке л-во, кв.10-16, лісове урочище ""Савинське""";"ДП ""Бучацьке лісове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 30.06.1986 р. №198     ;;;;;;;;;;;;;
8;"""Пулікове""";заказник;загальнозоологічний;544;"Бучацький район, с.Бариш, с.Залісся, Бучацьке л-во, кв.78-86, лісове урочище ""Пулікове""";"ДП ""Бучацьке лісове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 30.06.1986 р. №198 ;;;;;;;;;;;;;
9;"""За Броварем""";заказник;загальнозоологічний;3117;Гусятинський район, м.Копичинці, села Яблунів та Увислів;Гусятинська районна організація УТМР;Рiшення виконавчого комітету Тернопільської обласної ради вiд 30.06.1986 р.№198, зі змінами, затвердженими рішенням Тернопільської обласної ради від 27.04.2001р. №238     ;;;;;;;;;;;;;
10;"""Малоберезовицько - Іванчанський""";заказник;загальнозоологічний;2553;"Збаразький район, села Мала Березовиця та Іванчани, Збаразьке л-во, кв.4, 6-9, 20, лісові урочища ""Мала Березовиця, ""Іванчани"", ""Скалка"", прилеглі до лісових урочищ угіддя ";Збаразька районна організація УТМР;Рiшення виконавчого комітету Тернопільської обласної ради  вiд 30.08.1990 р. №189    ;;;;;;;;;;;;;
11;"""Кобилівський""";заказник;загальнозоологічний;1603;"Збаразький район,  с.Кобилля, Збаразьке л-во, кв.1-3, 5, лісові урочища ""Кобилля"", ""Лосятин"", ""Козаччина"", прилеглі до лісових урочищ угіддя ";Збаразька районна організація УТМР;Рiшення виконавчого комітету Тернопільської обласної ради вiд 30.08.1990 р. №189    ;;;;;;;;;;;;;
12;"""Мільно-Бліхівський""";заказник;загальнозоологічний;3488;"Зборівський район, с.Мільно, Мшанецьке л-во, кв.18-30, лісові урочища ""Бліх"", ""Мильно"", прилеглі до лісового урочища угіддя";"  ДП ""Тернопільське лісове господарство"" ";Рiшення виконавчого комітету Тернопільської обласної ради  вiд 30.06.1986 р. №198     ;;;;;;;;;;;;;
13;"""Ішківський""";заказник;загальнозоологічний;1251;"Козівський район, с.Ішків, Козівське  л-во, кв.43-46, лісове урочище ""Ішків"", прилеглі до лісових урочищ угіддя";Козівська районна організація УТМР;Рiшення виконавчого комітету Тернопільської обласної ради  вiд 30.06.1986 р. №198, зі змінами, затвердженими рішенням Тернопільської обласної ради від 27.04.2001р. №238       ;;;;;;;;;;;;;
14;"""Білокриницький""";заказник;загальнозоологічний;457;"Кременецький район, між с. Фещуки та м.Кременць, Бiлокриницьке л-во, кв.24-30, 44, лісове ур. ""Білокриниця""";"ДП ""Кременецьке лiсове господарство""  ";Рiшення виконавчого комітету Тернопільської обласної ради  вiд 30.06.1986 р. №198     ;;;;;;;;;;;;;
15;"""Заброддя""";заказник;загальнозоологічний;435;"Кременецький район, с. Лішня, Бiлокриницьке  л-во, кв.1-17, лісове урочище ""Заброддя""";"ДП ""Кременецьке лiсове господарство"" ";Рiшення виконавчого комітету Тернопільської обласної ради  вiд 30.06.1986 р. №198     ;;;;;;;;;;;;;
16;"""Скит""";заказник;загальнозоологічний;468;"Кременецький район, с. Старий Тараж, Почаївське          л-во кв.40-50, лісове урочище ""Скит""";"ДП ""Кременецьке лiсове господарство"" ";Рiшення виконавчого комітету Тернопільської обласної ради  вiд 30.06.1986 р. №198     ;;;;;;;;;;;;;
17;"""Воронуха""";заказник;загальнозоологічний;4814;"Кременецький район, с.Гаї, Кременецьке л-во, кв.26-35, лісове урочище ""Воронуха"", прилеглі до лісового урочища угіддя ";" ДП ""Кременецьке лiсове господарство"" ";Рiшення виконавчого комітету Тернопільської обласної ради  вiд 30.06.1986 р. №198     ;;;;;;;;;;;;;
18;"""Вербовецько-Заліський""";заказник;загальнозоологічний;2699;"Лановецький район, с.Вербовець, Лановецьке  л-во, кв.31-34, лісове урочище ""Залісь"", прилеглі до лісового урочища угіддя";Лановецька районна організація УТМР;Рiшення виконавчого комітету Тернопільської обласної ради вiд 30.06.1986 р. №198     ;;;;;;;;;;;;;
19;"""Ковалівський""";заказник;загальнозоологічний;2959;"Монастириський район, с.Ковалівка, Криницьке л-во, кв.56-63, лісове урочище ""Ковалівка"", прилеглі до лісового урочища угіддя";Монастириська районна організація УТМР;Рiшення виконавчого комітету Тернопільської обласної ради  вiд 30.06.1986 р. №198     ;;;;;;;;;;;;;
20;"""Криниця""";заказник;загальнозоологічний;1052;"Монастириський район, Криницьке л-во, кв.13-37, лісове урочище ""Криниця""";Монастириська районна організація УТМР;Рiшення виконавчого комітету Тернопільської обласної ради вiд 30.06.1986 р. №198     ;;;;;;;;;;;;;
21;Подільсько-Сороцький;заказник;загальнозоологічний;2384;"Підволочиський район, с.Поділля, Скалатське л-во, кв.48-49, лісове урочище ""Сороцьке"", прилеглі до лісового урочища угіддя";Підволочиська районна організація УТМР;Рiшення виконавчого комітету Тернопільської обласної ради вiд 30.06.1986 р. №198     ;;;;;;;;;;;;;
22;"""Довге""";заказник;загальнозоологічний;376;"Підгаєцький район, с.Завалів, Завалівське л-во,  лісове урочище ""Довге""";Підгаєцька районна організація УТМР;Рiшення виконавчого комітету Тернопільської обласної ради вiд 30.06.1986 р. №198     ;;;;;;;;;;;;;
23;"""Рудники""";заказник;загальнозоологічний;418;"Підгаєцький район, між селами Рудники,  Боків,  Литвинівське л-во, кв.53,54,106-112, лісове урочище ""Рудники""";"ДП ""Бережанське  лісомисливське господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 30.06.1986 р. №198     ;;;;;;;;;;;;;
24;"""Буда""";заказник;загальнозоологічний;398;"Підгаєцький район, між селами Угринів,  Рудники, Підгаєцьке         л-во, кв.44-51, лісове урочище ""Буда""";Підгаєцька районна організація УТМР;Рiшення виконавчого комітету Тернопільської обласної ради вiд 30.06.1986 р. №198     ;;;;;;;;;;;;;
25;"""Кобиловолоко-Благівщинський""";заказник;загальнозоологічний;3220;"Теребовлянський район, с.Кобиловолоки, Буданівське л-во, кв.7-11, лісове урочище ""Благівщина"", прилеглі до лісового урочища угіддя";"ДП ""Тернопільське лісове господарство""- 1686,0 га, Теребовлянська районна організація УТМР - 1534";Рiшення виконавчого комітету Тернопільської обласної ради вiд 30.06.1986 р. №198     ;;;;;;;;;;;;;
26;"""Звіринець-Білецький""";заказник;загальнозоологічний;309;"Чортківський район, між селами Росохач, Бордо, Угринь, Білецьке л-во, кв.62-71, лісове урочище ""Звіринець""";Чортківська районна організація УТМР;Рiшення виконавчого комітету Тернопільської обласної ради  вiд 30.06.1986 р. №198     ;;;;;;;;;;;;;
27;"""Коцюбинчики""";заказник;загальнозоологічний;3205;"Чортківський район, села Коцюбинчики, Зелена, Сокиринці, Босири, Гусятинське     л-во, кв.68-74, лісове урочище ""Коцюбинчики"", прилеглі до лісового урочища угіддя";Чортківська районна організація УТМР;Рiшення виконавчого комітету Тернопільської обласної ради вiд 30.06.1986 р. №198     ;;;;;;;;;;;;;
28;"""Котячин-Биківці""";заказник;загальнозоологічний;178;"Шумський район, с.Жолоби, Забарівське л-во,  кв.37-39, лісове урочище ""Котячин"", ""Биковиччина""";"ДП ""Кременецьке лісове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 30.06.1986 р. №198     ;;;;;;;;;;;;;
29;"""Зелений дуб - 2""";заказник;загальнозоологічний;518;"Шумський район, с.Руська Гута, Суразьке л-во, кв.12-31, лісове урочище ""Зелений дуб-2""";"ДП ""Кременецьке лісове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 30.06.1986 р. №198     ;;;;;;;;;;;;;
30;"""Волинський""";заказник;загальнозоологічний;689;"Шумський район, с.Забара,  Волинське л-во, кв.62, 63, 71-76, 86-88, 95, лісове урочище ""Антонівці-Свинодебри""";"ДП ""Кременецьке лісове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 30.06.1986 р. №198     ;;;;;;;;;;;;;
31;"""Людвище""";заказник;загальнозоологічний;2080;Шумський район, с.Людвище, угіддя в межах  сільської ради;"ДП ""Кременецьке лісовне господарство""";Рiшення виконавчого комітету Тернопільської обласної ради  вiд 30.06.1986 р. № 198     ;;;;;;;;;;;;;
32;"""Цеценівський бобрів гай""";заказник;загальнозоологічний;26,5;Шумський район, с.Цеценівка, заплава р.Вілія у межах населеного пункту;Цеценівська сільська рада;Рiшення Тернопільської  обласної ради  вiд 18.03.1994 р., зі змінами, затвердженими рішенням Тернопільської обласної ради від 25.01.2005р. №382;;;;;;;;;;;;;
33;"""Рохманівський бобрів гай""";заказник;загальнозоологічний;15;Шумський район,  с.Рохманів, на місці колишніх торфорозробок, заплава р.Вілія;Рохманівська сільська рада;Рiшення Тернопільської обласної ради  вiд 18.03.1994 р.;;;;;;;;;;;;;
;Разом заказників загальнозоологічних;33;;47424,5;;;;;;;;;;;;;;;;
;Всього заказників місцевого значення;107;;49823,02;;;;;;;;;;;;;;;;
1;"""Прохова скалка""";пам`ятка природи;комплексна;0,15;Підволочиський район, с.Колодіївка, на відстані 4 км північніше від села, фрагмент Товтрової гряди;Колодіївська сільська рада;Рiшення Тернопільської обласної ради  вiд 14.12.2006р. №105;;;;;;;;;;;;;
2;"""Відслонення сармату в с.Великий Глибочок""";пам`ятка природи;комплексна;1,5;Тернопільський район,с.Великий Глибочок, у 800 метрах на північ від села у старому недіючому кар'єрі на високому правому березі р.Серет;Великоглибочецька сільська рада;Рiшення Тернопільської обласної ради  вiд 14.12.2006р. №105;;;;;;;;;;;;;
3;"""Космиринська травертинова скеля""";пам`ятка природи;комплексна;0,25;Бучацький район, с. Космирин, на крутому лівому схилі  р. Дністер, Золото-Потіцьке л-во кв.29 вид.18, 19, лісове урочище “Локичка” ;ДП «Бучацьке лісове господарство»;Рішення Тернопільської обласної ради  від 18.06.2009 р. №620;;;;;;;;;;;;;
4;"""Порохівська травертинова скеля""";пам`ятка природи;комплексна;0,1;Бучацький район, с.Порохова, у верхів'ї лівого схилу долини р.Бариш;Порохівська сільська рада;Рішення Тернопільської обласної ради  від 18.06.2009 р. №620;;;;;;;;;;;;;
5;"""Дівоча гора""";пам`ятка природи;комплексна;5;Теребовлянський район, с.Лошнів та с.Сущин, крутий схил пд.-сх експозиції „Дівочої гори”;Лошнівська сільська рада;Рішення Тернопільської обласної ради  від 18.06.2009 р. №620;;;;;;;;;;;;;
6;"""Велике сідло""";пам`ятка природи;комплексна;17,1;Підволочиський район, с.Полупанівка, відрога Товтрової гряди;Староскалатська сільська рада;Рішення Тернопільської обласної ради  від 18.06.2009 р. №620;;;;;;;;;;;;;
7;"""Урочище ""Вавринів""";пам`ятка природи;комплексна;20;Чортківський район, західна околиця с.Горішня Вигнанка, крутий схил вздовж ріки Серет від м.Чортків до с.Горішня Вигнанка;Чортківська міська рада;Рішення Тернопільської обласної ради  від 17.06.2010 р. №990;;;;;;;;;;;;;
8;"""Стінка ""Угринська""";пам`ятка природи;комплексна;30;Чортківський район, крутий схил вздовж ріки Серет від м.Чортків до с.Угринь ;Угринська сільська рада;Рішення Тернопільської обласної ради  від 17.06.2010 р. №990;;;;;;;;;;;;;
9;„Гонтова гора„;пам`ятка природи;комплексна;36,4;Зборівський район, фрагмент Товтрової гряди між с.Мильне Зборівського та с. Мала Березовиця Збаразького району;Мильнівська сільська рада;Рішення Тернопільської обласної ради  від 15.12.2011 р. №1291;;;;;;;;;;;;;
10;"""Музикова скала""";пам`ятка природи;комплексна;10,46;;;Рішення Тернопільської обласної ради  від 12.11.2013 р. №1520;;;;;;;;;;;;;
11;"""Тимкова скала""";пам`ятка природи;комплексна;9;Борщівський район, між селами Бабинці та Кривче, в борті балки правого берега р. Циганки;Бабинецька сільська рада Борщівськицй район (3,0 га) Кривченська сільська рада Борщівський район (6,0 га);Рішення Тернопільської обласної ради  від 17.06.2013 р. №1716;;;;;;;;;;;;;
;Разом пам`яток природи комплексних;11;;129,96;;;;;;;;;;;;;;;;
1;"""Печера ""Нагірянська""";пам`ятка природи;геологічна;5;Заліщицький район, с.Нагіряни, лівий схил р.Поросячка, в кар'єрі;Нирківська сільська рада;Рiшення Тернопільської обласної ради  вiд 18.03.1994 р.;;;;;;;;;;;;;
2;"""Печера ""Угринь""               ";пам`ятка природи;геологічна;0,25;Чортківський район, с.Угринь, правий схил долини потічка Млинки ;Угриньківська сільська рада;Рішення виконавчого комітету Тернопільської обласної ради від 20.12.1968 р. №870;;;;;;;;;;;;;
3;"""Печера ""Улашківська""";пам`ятка природи;геологічна;0,1;Чортківський район,  с.Улашківці, серед полів;Улашківська сільська рада;Рішення виконавчого комітету Тернопільської обласної ради від 13.12.1971 р. №645;;;;;;;;;;;;;
4;"""Печера ""Жолоби""";пам`ятка природи;геологічна;2;"Бучацький район,  с.Скоморохи, Язловецьке л-во, кв.69 в.8, лісове урочище ""Язловець""";"ДП ""Бучацьке лісове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 13.12.1971 р. №645          ;;;;;;;;;;;;;
5;"""Печера ""Збручанська""";пам`ятка природи;геологічна;0,1;Борщівський район, с.Збручанське;Збручанська сільська рада ;Рішення виконавчого комітету Тернопільської обласної ради від 20.12.1968 р.  №870 ;;;;;;;;;;;;;
