;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
7;ПАК у мису Хроні;пам`ятка природи ;гідрологічна;180;Ленінський р-н, с. Осовини;Глазовська с/р;Рішення Облвиконкому від 22.02.1972 р. № 97
8;ПАК у мису Казантип;пам`ятка природи ;гідрологічна;240;Ленінський р-н, с. Мисове;Казантипский природний заповідник;Рішення Облвиконкому від 22.02.1972 р. № 97
9;ПАК у Арабатської стрілки;пам`ятка природи ;гідрологічна;150;Ленінський р-н, с. Кам'янське;КСП «Сємісотка»;Рішення Облвиконкому від 22.02.1972 р. № 97
10;ПАК у Джангульського зсувного узбережжя;пам`ятка природи ;гідрологічна;180;Чорноморський р-н, с. Оленівка;Оленівська с/р;Рішення Облвиконкому від 22.02.1972 р. № 97
11;ПАК у скелі Діва та г. Кішка;пам`ятка природи ;гідрологічна;60;м. Ялта, сел. Сімеїз;Сімеїзська с/р;Рішення Облвиконкому від 22.02.1972 р. № 97
12;ПАК у мису Ай-Тодор;пам`ятка природи ;гідрологічна;120;м. Ялта, сел. Гаспра;Гасприньська с/р;Рішення Облвиконкомувід 22.02.1972 р. № 97
13;ПАК у мису Плака;пам`ятка природи ;гідрологічна;60;м. Алушта,сел. Партеніт;Санаторій Утьос;Рішення Облвиконкому від 22.02.1972 р.№ 97
14;ПАК у с. Сонячногірське та с. Малоріченьське;пам`ятка природи ;гідрологічна;60;м. Алушта,с. Сонячногірськес. Малоріченьське;Малоріченьська с/р;Рішення Облвиконкому від 22.02.1972 р. № 97
;Разом пам`яток природи гідрологічних;14;;1800;;;
1;Печера-грот Данільча-Коба;пам`ятка природи ;геологічна;1;Бахчисарайський р-н, с. Соколине, Соколине л-во, кв.20, від.2;ДП «Куйбишевське ЛГ»;Рішення Облвиконкому від 15.02.1964 р.№ 92
2;Природні сфінкси у долині р. Чурук-Су;пам`ятка природи ;геологічна;5;Бахчисарайський р-н, Михалівське л-во, кв. 43;ДП «Бахчисарайське ЛГ»;Рішення Облвиконкому від. 15.02.1964 р.№ 92
3;Печера-грот Кіік-Коба;пам`ятка природи ;геологічна;1;Сімферопольський р-н с. Балонове, Красногорське л-во кв.21;ДП «Сімферопольське ЛМГ»;Рішення Облвиконкому від. 15.02.1964 р.№ 92
4;Печера-грот Чокурча;пам`ятка природи ;геологічна;1;Сімферопольський р-н с. Лугове;автоколона№14654;Рішення Облвиконкому від. 15.02.1964 р.№ 92
5;Острівок-глиба пермських вапняків на Сімферопольському водосховищі;пам`ятка природи ;геологічна;1;Сімферопольський р-н Сімферопольське водосховище;Салгірське управління зрошувальних систем;Рішення Облвиконкому від. 15.02.1964 р.№ 92
6;Природні сфінкси Каралезьської долини;пам`ятка природи ;геологічна;5;Бахчисарайський р-н, с. Залісне;Красномакська с/р;Рішення Облвиконкому від 15.02.1964 р.№ 92
7;Печера-грот Сюрень;пам`ятка природи ;геологічна;1;Бахчисарайський р-н, с. Танкове;Куйбишевська с/р;Рішення Облвиконкому від 15.02.1964 р.№ 92
8;Мис Чауда;пам`ятка природи ;геологічна;5;Ленінський р-н, с. Ярке;Чаудинське мисливське  -господарство   товариської організації «ВВОО»;Рішення Облвиконкому від 15.02.1964 р. № 92
9;Карстова шахтаМаксимовича;пам`ятка природи ;геологічна;1;Бахчисарайськийр-н, Куйбишевськел-во, кв. 85;ДП «Куйбишевське ЛГ»;Постанова бюро Кримськ. Обкому КПУта облвиконкому  від  30.01.1969 р. № 19/8-67
10;Червоний камінь;пам`ятка природи ;геологічна;2;м. Ялта, с. Краснокам'янка;Гурзуфська с/р;Постанова бюро Кримськ. Обкому КПУта облвиконкому  від  30.01.1969 р. №19/8-67
11;   Зміїна печера;пам`ятка природи ;геологічна;1;Сімферопольський р-н с. Лівадки, Партизан-ське л-во, кв. 20;Сімферопольське ДЛМГ;Постанова бюро Кримськ. Обкому КПУта облвиконкому  від  30.01.1969 р. № 19/8-67
12;Кучук-Ламбатський кам'яний хаос;пам`ятка природи ;геологічна;5;м. Алушта, с. Кіпарісне,с. Бондаренкове;Маломаякська с/рТОВ «Центр стратегічних інвестицій»;Рішення Облвиконкому від 30.01.1969 р. № 19/8-67Постанова ВР АРК від 20.12.06 № 284-5/06
13;Ділянка узбережжя між с. Сонячногірьське та Малоріченське;пам`ятка природи ;геологічна;5;м. Алушта, с. Сонячногірьське с. Малоріченське;Малоріченська с/р;Рішення Облвиконкому від 30.01.1969 р. № 19/8-67
14;Печера Сюндюрлю;пам`ятка природи ;геологічна;1;Бахчисарайський р-н с. Поляна, Куйбишевське л-во, кв. 78, вид. 9;ДП «Куйбишевське ЛГ»;Рішення Облвиконкому від 01.12.1972 р. № 579
15;Печера МАН (малої академії наук);пам`ятка природи ;геологічна;1;м. Алушта,с. Лучистое Алуштинське л-во, кв.36 вид.1, півн. укізг. Демерджи;ДП «Алуштинське ЛГ»;Рішення Облвиконкому від 01.12.1972 р. № 579
16;Печера Аджи-Коба;пам`ятка природи ;геологічна;1;Білогірський р-н, Міжгорне л-во, кв 33;ДП «Сімферопольське ЛМГ»;Рішення Облвиконкому від 01.12.1972 р. № 579
17;Печера Аянська;пам`ятка природи ;геологічна;1;Сімферопольський р-н с. Зарічне, північний укіз Чатирдага;ППВКХ м. Сімферополя;Рішення Облвиконкомувід 01.12.1972 р. № 579
18;Вовчий грот;пам`ятка природи ;геологічна;1;Сімферопольський р-н с. Мазанка;Мазанська с/р;Рішення Облвиконкому від 22.02.1972 р.№ 97
19;Оголення скам'янілогопотоку вулканічної лави;пам`ятка природи ;геологічна;0.5;Сімферопольський р-н с. Петропавлівка,Петропавлівський кар’єр;Добрівська с/р;Рішення Облвиконкому від 20.12.1988 р. № 366
20;Грязьова сопка Андрусова;пам`ятка природи ;геологічна;1;Ленінський р-н, с. Бондаренкове;Войківська с/р;Рішення Облвиконкому від 22.09.1969 р. № 634
21;Грязьова сопка Вернадського;пам`ятка природи ;геологічна;1;Ленінський р-н, с. Бондаренкове;Войківська с/р;Рішення Облвиконкому від 22.09.1969 р.№ 634
22;Грязьова сопка Обручева;пам`ятка природи ;геологічна;1;Ленінський р-н, с. Бондаренкове;Войківська с/р;Рішення Облвиконкому від 22.09.1969 р.№ 634
;Разом пам`яток природи геологічних;22;;42.5;;;
;Всього пам`яток природи місцевого значення;81;;2580.1803;;;
1;Євпаторійський дендропарк;дендрологічний парк;;3.2;м. Євпаторія;"ТОВ ""Парк розваг""";Пост. ВР АРК від. 16.02.2000 р. № 913-2/2000
;Всього дендрологічних парків місцевого значення;1;;3.2;;;
1;"Парк санаторію""Дюльбер""";парк-пам’ятка садово-паркового мистецтва;;5.64;м. Ялта,сел. Кореїз;"Санаторнийкомплекс""Дюльбер""";Пост. ВР АРКвід26.04.2000 р.№ 1089-2/2000
2;Сакськийкурортний парк;парк-пам’ятка садово-паркового мистецтва;;31;м. Саки;"Санаторій ""ім.Ленина МОУкраїни ""1 - ДП спец.санаторій ім.ак.Н.Н. Бурденко ЗАТ „Укрпрофздравніца"" -1,2208га;2 - ЗАО „Санаторій Саки"" - 18,2884га;3 - ПП ГусейновФ.К.-0,095 га;4 - Сакський військовий клин.санаторія ім. Н.И.Пирогова -10,9811 га;5 - ПП „Едельвейс""-0,1712га.";РішенняОблвиконкомувід 15.04.1964 р.№ 92від 18.12.1984 р.№ 597
3;"Парк дачі ""Місхор""";парк-пам’ятка садово-паркового мистецтва;;2.29;м. Ялта,сел. Кореїз;"Санаторний комплекс ""Дюльбер""";Пост. ВР АРК від 26.04.2000 р № 1089-2/2000
4;"Парк санаторію ""Морський прибій""";парк-пам’ятка садово-паркового мистецтва;;8.87;м. Ялта,сел. Кореїз;"Санаторний комплекс ""Дюльбер""";Пост. ВР АРК від. 26.04.2000 р. № 1089-2/2000
5;Лісопарк Перчем;парк-пам’ятка садово-паркового мистецтва;;4.6;м. Судак, Судакське л-во, кв. 39, вид. 10;ДП «Судакський ЛМГ»;Рішення Облвиконкому від 01.12.1972 р.№ 579
6;Лазурний;парк-пам’ятка садово-паркового мистецтва;;22;м. Ялта, сел. Гурзуф;МДЦ Артек;Рішення Облвиконкому від 01.12.1972 р.№ 579
7;Морський;парк-пам’ятка садово-паркового мистецтва;;7;м. Ялта, сел. Гурзуф;МДЦ Артек;Рішення Облвиконкому від 01.12.1972 р.№ 579
8;Гірський;парк-пам’ятка садово-паркового мистецтва;;23;м. Ялта, сел. Гурзуф;МДЦ Артек;Рішення Облвиконкому від 01.12.1972 р. № 579
9;Комсомольський;парк-пам’ятка садово-паркового мистецтва;;7;м. Ялта, сел. Гурзуф;МДЦ Артек;Рішення Облвиконкому від 01.12.1972 р. № 579
10;Меласький;парк-пам’ятка садово-паркового мистецтва;;12;м. Ялта, с. Санаторне;"санаторій ""Мелас""";Рішення Облвиконкому від 01.12.1972 р.№ 579
11;Нижня Ореанда;парк-пам’ятка садово-паркового мистецтва;;41.6;м. Ялта,ї с. Нижня Ореанда;"санаторій ""Нижня Ореанда""";Рішення Облвиконкому від 01.12.1972 р. № 579
12;"Парк дому відпочинку „Судак""";парк-пам’ятка садово-паркового мистецтва;;17.42;м. Судак;"ВАТ «Туристичний оздоровчий комплекс ""Судак""»";Пост. ВР АРКвід 21.05.1997 р. № 1170-1
13;"Парк дому відпочинку ""Айвазовське""";парк-пам’ятка садово-паркового мистецтва;;18;м. Алушта,сел. Партеніт;"дім відпочинку ""Айвазовське""";Пост. ВР АРК від 19.11.1998 р.№ 286-2/98
14;"Парк санаторію ""Ай-Даніль""";парк-пам’ятка садово-паркового мистецтва;;19.4;98643 м. Ялта,сел. Данилівнавул.. Лісова, 4;"санаторій ""Ай-Даніль""";Пост. ВР АРК від. 19.11.1998 р. № 286-2/98
15;"Парк ""Еміра БухарськогоСейїд-Абдул-Ахад-Хана""";парк-пам’ятка садово-паркового мистецтва;;9.5;м. Ялта, с. Ливадія;"санаторій ""Узбекістан""";Пост ВР АРК від 19.11.1998 р. № 286-2/98
16;"Парк санаторію ""Гірський""";парк-пам’ятка садово-паркового мистецтва;;17.17;м. Ялта, с. Ливадія;ФАО «Атомпрофздравниця санаторія «Горний»;Пост. ВР АРК від 19.11.1998 р.  № 286-2/98
17;"""Чукурлар""";парк-пам’ятка садово-паркового мистецтва;;14.42;98613 м. Ялта,вул.. Комунарів, 12;Республ.підприємство «Курортно-оздоровчий комплекс «Росія»;Пост. ВР АРК від 22.06.1999 р.  № 585-2/99
18;"Парк пансіонату ""Прибрежний""";парк-пам’ятка садово-паркового мистецтва;;6;98654 м. Ялта, с. Отрадне;"Пансіонат ""Прибрежний""";Пост. ВР АРК від 16.02.2000 р.№ 913-2/2000
19;"Парк санаторію ""Сокіл""";парк-пам’ятка садово-паркового мистецтва;;3.06;м. Судак-2,вул.. Приморська, 21;"Санаторій ""Сокіл""";Пост. ВР АРК від 16.02.2000 р. № 913-2/2000
20;"Парк санаторію ""Чорноморьє""";парк-пам’ятка садово-паркового мистецтва;;11.679;м. Ялта,сел. Лівадія;"Санаторій ""Чорноморьє""";Пост. ВР АРК від 18.10.2002 р.№ 295-3/02
21;"""Малий Лівадіській парк""";парк-пам’ятка садово-паркового мистецтва;;9.6;м. Ялта, сел. Нижня Ореанда;"СКО Пансіонат ""Гліцинія""";Пост. ВР АРК від 22.10.2003 р. № 709-3/03
;Всього парків-пам`яток садово-паркового мистецтва місцевого значення;21;;291.249;;;
1;Яйла Чатирдага;заповідне урочище;;900;м. Алушта, Алуштинське л-во, кв. 1-10;ДП «Алуштинське ЛГ»;Рішення Облвиконкому від 20.05.1980 р.№ 353
2;Долина р. Сатера;заповідне урочище;;10;м. Алушта, Алуштинське л-во, кв. 43;ДП «Алуштинське ЛГ»;Рішення Облвиконкому від 20.05.1980 р.№ 353
3;"Лісова діброва ""Левадки""";заповідне урочище;;16;Сімферопольський р-н, с. Левадки, Партизанське л-во, кв. 17;ДП «Сімферопольське ЛМГ»;Рішення Облвиконкому від 20.05.1980 р.№ 353
4;Балка Великий Кастель;заповідне урочище;;20;Чорноморський р-н, с. Оленівка;Оленівська с/р;Рішення Облвиконкому від 20.05.1980 р.№ 353
5;Гірсько-лісовий масив у с.Тополівка та с. Курське;заповідне урочище;;200;Білогорський р-н;ДП «Старокримське ЛМГ»;Рішення Облвиконкому від 20.05.1980 р.№ 353
6;Мис Алчак у м. Судак;заповідне урочище;;55;м. Судак,Судакське лісництво, обхід №5;ДП «Судакське ЛМГ»;Рішення Облвиконкому від 20.12.1988 р.№ 366
7;Гай фісташки туполистої;заповідне урочище;;4.3;м. Алушта;Оздоровче-спортивний табір МАІ;Пост. ВР АРК від 21.05.1997 р.  № 1170-1
;Всього заповідних урочищ;7;;1205.3;;;
1;Ботанічний сад при Тавридському національному університетііменіВ.І.Вернадського;ботанічний сад;;33.16;м. Сімферополь;Тавриський національний університет ім. В.І . Вернадського;Постанова ВР АРК від 21.04.2005  р.№ 1271-4/05
;Всього ботанічних садів місцевого значення;1;;33.16;;;
1;"парк ""Казка""";зоологічний парк;;2.4276;м. Ялта,с. Виноградне;МПП Зубкова О.А.Зооуголок «Сказка»;Пост. ВР АРКвід 22.10.2003 р.№ 709-3/03
2;«Сафарі-парк «Тайган»;зоологічний парк;;32.4745;м. Білогірськ, вул. Лавандова, 1;МПП Зубкова О.А.;Пост. ВР АРКвід 18.04.2012 р.№ 784-6/12
;Всього зоологічних парків місцевого значення;2;;34.9021;;;
;Всього територій та об`єктів ПЗФ місцевого значення:;152;;69504.7914;;;
;Всього територій та об`єктів ПЗФ:;196;;220000.3114;;;
